,0.1,0.075,0.05,0.025,0.01,0.0075,0.005,0.0025,0.001,0.00075,0.0005,0.00025,0.0001,7.5e-05,5e-05,2.5e-05,1e-05
image_0,unsafe-pgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1,unsafe-pgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
